"HOUSEHOLD DATA
ANNUAL AVERAGES
11.  Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2019,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
"Total, 16 years and over","157,538",47.0,77.7,12.3,6.5,17.6
,,,,,,
"Management, professional, and related occupations","64,218",51.8,79.0,9.6,8.7,10.1
"Management, business, and financial operations occupations","26,981",44.1,82.1,8.4,7.0,10.4
Management occupations,"18,985",40.0,83.6,7.8,6.1,10.7
Chief executives,"1,602",27.6,88.8,4.1,5.8,6.2
General and operations managers,"1,058",30.6,86.4,6.6,3.5,12.5
Legislators,19,–,–,–,–,–
Advertising and promotions managers,55,56.9,89.5,0.7,7.0,9.0
Marketing and sales managers,"1,184",48.5,86.1,6.1,5.6,8.9
Public relations and fundraising managers,73,71.4,89.8,8.0,0.4,1.4
Administrative services managers,184,42.0,83.9,10.5,3.2,10.9
Computer and information systems managers,654,28.7,72.7,9.6,15.8,4.7
Financial managers,"1,194",53.5,80.2,8.5,9.4,11.4
Compensation and benefits managers,24,–,–,–,–,–
Human resources managers,321,74.7,77.8,11.1,7.1,10.1
Training and development managers,46,–,–,–,–,–
Industrial production managers,274,22.4,87.2,5.4,5.5,10.9
Purchasing managers,227,42.8,75.1,14.4,5.9,10.0
"Transportation, storage, and distribution managers",281,17.3,85.1,9.6,2.4,17.3
"Farmers, ranchers, and other agricultural managers",962,24.5,96.6,0.9,1.0,5.7
Construction managers,994,10.0,90.9,3.5,2.5,13.9
Education administrators,958,67.7,78.6,15.3,3.3,11.8
Architectural and engineering managers,154,11.7,81.5,6.0,11.8,6.7
Food service managers,"1,249",46.5,76.3,9.8,9.6,19.8
Funeral service managers,13,–,–,–,–,–
Gaming managers,19,–,–,–,–,–
Lodging managers,162,49.5,80.9,7.0,9.3,14.6
Medical and health services managers,677,69.7,79.0,12.7,5.7,11.8
Natural sciences managers,15,–,–,–,–,–
Postmasters and mail superintendents,30,–,–,–,–,–
"Property, real estate, and community association managers",780,47.3,83.6,8.9,4.5,12.8
Social and community service managers,470,68.2,79.9,12.3,3.2,10.6
Emergency management directors,7,–,–,–,–,–
"Managers, all other","5,299",36.0,83.4,7.5,6.8,10.3
Business and financial operations occupations,"7,996",54.0,78.4,9.9,9.0,9.5
"Agents and business managers of artists, performers, and athletes",47,–,–,–,–,–
"Buyers and purchasing agents, farm products",16,–,–,–,–,–
"Wholesale and retail buyers, except farm products",226,47.8,87.0,6.9,3.5,14.6
"Purchasing agents, except wholesale, retail, and farm products",279,48.5,82.5,9.9,4.2,10.3
"Claims adjusters, appraisers, examiners, and investigators",318,62.1,73.6,19.5,4.4,9.5
Compliance officers,298,59.5,80.7,10.2,6.1,10.5
Cost estimators,127,14.3,90.0,3.1,5.8,8.1
Human resources workers,770,73.5,75.7,13.8,7.1,13.8
"Compensation, benefits, and job analysis specialists",51,75.0,76.0,19.0,3.7,6.0
Training and development specialists,125,52.5,77.3,15.4,4.0,10.6
Logisticians,154,31.7,77.1,15.5,2.7,8.2
Management analysts,950,42.1,76.1,7.5,13.7,8.6
"Meeting, convention, and event planners",146,78.7,82.0,8.8,7.4,11.9
Fundraisers,93,67.2,89.3,5.1,2.5,5.2
Market research analysts and marketing specialists,369,56.6,80.6,5.9,11.4,7.2
"Business operations specialists, all other",269,57.7,75.8,10.3,10.9,10.5
Accountants and auditors,"1,964",61.7,77.1,8.5,12.0,8.9
Appraisers and assessors of real estate,84,42.0,93.2,2.7,4.1,8.3
Budget analysts,51,60.4,64.6,19.3,12.2,3.6
Credit analysts,28,–,–,–,–,–
Financial analysts,345,34.2,77.8,8.6,11.7,8.3
Personal financial advisors,551,32.1,82.2,6.9,8.6,6.3
Insurance underwriters,105,51.1,87.0,5.9,5.4,6.2
Financial examiners,21,–,–,–,–,–
Credit counselors and loan officers,403,53.9,81.7,12.2,4.2,11.6
"Tax examiners and collectors, and revenue agents",53,69.2,58.8,25.8,12.8,12.1
Tax preparers,97,62.3,77.5,16.6,5.6,15.2
"Financial specialists, all other",57,46.8,68.6,17.9,8.7,15.9
