"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2018,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
Biomedical engineers,11,–,–,–,–,–
Chemical engineers,72,16.3,73.7,8.9,17.3,1.9
Civil engineers,456,14.8,84.8,4.4,9.3,7.9
Computer hardware engineers,71,18.9,58.0,6.9,30.9,14.1
Electrical and electronics engineers,269,9.4,70.2,8.4,17.8,8.1
Environmental engineers,36,–,–,–,–,–
"Industrial engineers, including health and safety",246,23.0,83.2,4.9,9.0,7.4
Marine engineers and naval architects,17,–,–,–,–,–
Materials engineers,41,–,–,–,–,–
Mechanical engineers,333,10.9,80.0,3.5,15.0,5.5
"Mining and geological engineers, including mining safety engineers",8,–,–,–,–,–
Nuclear engineers,14,–,–,–,–,–
Petroleum engineers,27,–,–,–,–,–
"Engineers, all other",576,12.7,77.0,5.9,15.4,9.2
Drafters,133,20.6,88.5,4.8,4.6,11.0
"Engineering technicians, except drafters",439,18.1,78.4,12.0,6.2,11.1
Surveying and mapping technicians,76,3.2,90.8,4.3,1.0,12.9
"Life, physical, and social science occupations","1,529",46.7,78.1,7.1,12.8,8.7
Agricultural and food scientists,37,–,–,–,–,–
Biological scientists,104,47.5,83.6,1.6,13.7,3.6
Conservation scientists and foresters,22,–,–,–,–,–
Medical scientists,169,52.1,68.8,9.5,20.7,8.6
"Life scientists, all other",1,–,–,–,–,–
Astronomers and physicists,20,–,–,–,–,–
Atmospheric and space scientists,12,–,–,–,–,–
Chemists and materials scientists,118,37.7,78.1,4.2,16.8,7.7
Environmental scientists and geoscientists,100,33.1,90.4,7.8,1.1,8.4
"Physical scientists, all other",305,43.9,65.9,4.7,26.0,6.1
Economists,36,–,–,–,–,–
Survey researchers,3,–,–,–,–,–
Psychologists,224,75.9,89.0,7.7,3.0,11.2
Sociologists,5,–,–,–,–,–
Urban and regional planners,29,–,–,–,–,–
Miscellaneous social scientists and related workers,46,–,–,–,–,–
Agricultural and food science technicians,36,–,–,–,–,–
Biological technicians,19,–,–,–,–,–
Chemical technicians,68,25.3,85.7,8.9,3.0,17.6
Geological and petroleum technicians,12,–,–,–,–,–
Nuclear technicians,10,–,–,–,–,–
Social science research assistants,2,–,–,–,–,–
"Miscellaneous life, physical, and social science technicians",152,47.7,77.8,9.1,11.5,11.2
Community and social service occupations,"2,680",66.5,71.8,20.4,3.9,12.1
Counselors,895,72.0,70.0,22.2,3.9,12.7
Social workers,835,81.6,68.9,23.6,3.5,13.4
Probation officers and correctional treatment specialists,104,56.9,69.3,27.0,0.6,15.9
Social and human service assistants,208,77.7,67.7,21.1,4.1,18.6
"Miscellaneous community and social service specialists, including health educators and community health workers",71,76.3,68.8,21.5,3.3,12.4
Clergy,415,22.4,80.3,12.5,4.3,6.4
"Directors, religious activities and education",76,57.8,79.7,8.2,10.6,8.3
"Religious workers, all other",76,59.2,88.3,6.9,4.0,5.1
Legal occupations,"1,891",51.6,85.7,7.3,4.7,9.9
Lawyers,"1,199",37.4,88.0,5.5,4.9,6.1
Judicial law clerks,13,–,–,–,–,–
"Judges, magistrates, and other judicial workers",80,32.3,85.4,13.3,1.2,6.7
Paralegals and legal assistants,444,86.4,79.1,11.3,5.3,18.5
Miscellaneous legal support workers,156,73.1,86.8,7.2,2.9,16.6
"Education, training, and library occupations","9,313",73.2,81.5,10.6,5.2,10.7
Postsecondary teachers,"1,417",49.0,75.7,7.9,13.7,7.3
Preschool and kindergarten teachers,716,97.6,75.8,16.0,4.0,14.5
Elementary and middle school teachers,"3,421",79.8,83.5,11.1,3.3,10.3
Secondary school teachers,"1,062",58.0,88.3,7.3,2.6,9.0
Special education teachers,369,87.5,87.8,8.5,1.6,7.6
Other teachers and instructors,905,61.9,78.8,11.4,6.1,10.5
"Archivists, curators, and museum technicians",45,–,–,–,–,–
Librarians,178,78.5,85.5,6.6,4.7,8.4
Library technicians,33,–,–,–,–,–
Teacher assistants,994,88.9,78.7,12.9,4.6,17.4
"Other education, training, and library workers",173,73.9,79.1,12.8,5.4,14.3
"Arts, design, entertainment, sports, and media occupations","3,362",46.8,83.6,7.4,5.5,11.8
Artists and related workers,232,52.2,82.7,6.0,5.8,9.6
Designers,984,53.0,86.5,3.7,7.2,13.1
Actors,36,–,–,–,–,–
Producers and directors,201,29.2,83.6,11.3,2.3,7.1
"Athletes, coaches, umpires, and related workers",359,34.9,81.9,10.7,2.4,11.8
Dancers and choreographers,24,–,–,–,–,–
"Musicians, singers, and related workers",202,35.0,75.9,15.1,5.9,10.5
"Entertainers and performers, sports and related workers, all other",68,51.0,68.3,11.3,9.7,8.0
Announcers,56,17.7,74.5,22.3,0.5,18.7
"News analysts, reporters and correspondents",79,51.7,80.9,8.7,4.1,15.2
